DAYOFYEAR(date)	COUNT(*)
1	19
2	73
3	37
5	9
6	4
8	1
9	1
10	20
11	10
12	30
13	76
14	41
15	43
16	8
18	281
19	2165
20	3173
21	4519
22	4110
23	3533
24	3990
25	4589
26	4204
27	4571
28	5097
29	4528
30	3974
31	4300
32	4494
33	4149
34	4170
35	4210
36	4330
37	3861
38	3687
39	4471
40	4503
41	2326
61	215
62	961
63	1304
64	1691
65	2071
66	2443
67	2389
68	2428
69	3326
70	2881
71	3017
72	3870
73	3382
74	3175
75	1827
76	1356
77	1004
78	742
79	878
80	713
81	991
82	1237
83	2466
84	3209
85	3782
86	4221
87	3955
88	3686
89	3437
90	4152
91	4163
92	3949
93	3886
94	3963
95	4407
96	3746
97	4602
98	5483
99	6215
100	7011
101	6768
102	6223
103	5587
104	5907
105	5934
106	5883
107	6404
108	5982
109	5322
110	4288
111	4297
112	5693
113	5636
114	5866
115	5649
116	4906
117	5221
118	5826
119	5829
120	6028
121	6440
122	5731
123	5518
124	5863
125	5713
126	5912
127	6636
128	7199
129	6675
130	6364
131	5261
132	6173
133	5144
134	4941
135	5094
136	4591
137	4640
138	3861
139	3718
140	1719
141	50
142	181
143	135
144	246
145	167
146	336
147	309
148	181
149	110
150	183
151	215
152	195
153	289
154	834
155	874
156	924
157	1109
158	1119
159	596
161	659
162	1030
163	765
164	902
165	1002
166	870
167	936
168	1271
169	1172
170	1000
171	838
172	1071
173	924
174	810
175	1088
176	1124
177	930
178	841
179	893
180	600
181	662
182	960
183	507
184	655
185	722
186	526
187	455
188	664
189	808
190	906
191	957
192	769
193	558
194	374
195	360
196	725
197	763
198	754
199	856
200	834
201	774
202	724
203	828
204	913
205	800
206	769
207	793
208	688
209	747
210	790
211	732
212	812
213	907
214	803
215	569
216	484
217	382
218	453
219	363
222	63
223	78
224	21
225	68
226	52
227	20
228	11
229	23
230	51
231	5
232	5
233	1
234	11
235	3
236	43
237	54
238	52
239	308
240	1858
241	2320
242	3452
243	4180
244	4793
245	4872
246	4549
247	4789
248	4291
249	4248
250	4769
251	5009
252	4459
253	5002
254	4667
255	4096
256	4085
257	4495
258	4047
259	5596
260	5457
261	5512
262	4979
263	4591
264	4193
265	5131
266	5290
267	4703
268	4860
269	4641
270	4914
271	3724
272	5268
273	5848
274	5465
275	5658
276	5266
277	5181
278	4576
279	4713
280	5098
281	5129
282	5497
283	4874
284	4668
285	4238
286	4697
287	5001
288	5465
289	5756
290	4925
291	4452
292	3948
293	5039
294	5091
295	5451
296	5982
297	4921
298	4709
299	3709
300	5029
301	5302
302	5048
303	5760
304	5318
305	4968
306	4447
307	5248
308	5593
309	5094
310	5002
311	4258
312	4012
313	3153
314	2795
315	2650
316	5244
317	5252
318	4977
319	2497
320	3641
321	3503
322	4671
323	4076
324	3981
325	3969
326	3194
327	1657
328	1011
329	948
330	738
331	663
332	310
333	506
334	1196
335	2640
336	4580
337	4452
338	5079
339	4095
340	4161
341	3709
342	4127
343	4265
344	4011
345	4271
346	4815
347	4125
348	3619
349	4261
350	4792
351	4092
352	4454
353	3944
354	1138
355	2
356	8
357	1
358	143
359	44
361	2
363	6
365	8
366	60
