DATEDIFF(DATE(time), '2007-12-31 00:00:00')	COUNT(*)
98	10
101	41
104	1
105	14
106	19
107	11
108	14
112	1
113	13
114	24
115	15
116	5
119	19
121	27
122	9
130	3
242	17
246	1
247	21
248	12
249	34
252	26
253	14
254	8
255	3
256	6
257	5
259	54
260	5
261	7
262	30
263	44
266	48
267	12
268	4
269	61
270	42
273	66
274	21
275	21
277	41
280	65
281	37
282	19
283	44
284	51
286	8
288	49
289	10
290	19
291	25
294	72
295	40
296	19
297	63
298	69
299	2
300	7
301	64
302	22
303	9
304	15
305	49
306	3
308	29
309	32
310	2
311	10
312	38
313	3
314	5
315	3
316	42
317	8
318	31
319	37
322	36
323	19
325	25
326	33
336	34
337	21
338	13
339	17
340	12
341	1
343	6
344	17
346	1
348	6
350	4
386	25
387	5
388	25
389	28
392	94
393	108
394	20
395	98
396	90
399	144
400	126
401	30
402	164
403	102
406	184
407	90
408	35
409	34
410	78
414	32
415	21
416	55
417	50
419	4
420	92
421	48
422	40
423	44
424	42
427	2
428	68
429	44
430	19
431	40
433	18
434	75
435	43
436	53
437	30
438	42
448	41
449	40
450	28
451	55
452	25
455	65
456	62
458	41
459	37
462	48
463	31
464	20
465	54
466	20
469	31
470	38
471	24
472	53
473	27
477	55
478	5
479	63
480	16
482	6
483	76
484	21
485	39
486	14
490	9
492	7
493	11
496	10
497	5
612	37
613	20
617	28
618	48
619	94
620	33
621	9
622	9
623	79
624	13
625	91
626	42
627	88
629	10
630	114
631	43
632	79
633	92
634	75
636	11
637	125
638	60
639	73
640	75
641	81
643	8
644	59
645	28
646	93
647	75
648	67
649	10
650	2
651	40
652	61
653	130
654	54
655	73
657	4
658	86
659	34
660	46
661	59
662	60
664	15
665	65
666	58
667	64
668	58
669	37
671	2
672	54
673	42
674	70
675	37
676	31
677	13
678	6
679	38
680	67
681	39
682	24
683	54
685	20
686	33
687	53
688	38
689	70
690	49
696	3
700	29
701	34
702	72
703	41
704	28
705	15
706	4
707	23
708	17
709	69
710	40
714	4
715	16
716	5
717	3
718	29
721	6
750	13
751	3
752	48
753	17
755	10
756	58
757	21
758	9
759	60
760	12
