user	COUNT(*)
adyer	11357
agao	1779
akenvarg	513
alevitz	2766
alloyd	10404
aolsen	4728
apethan	3992
astocks	14561
auttamchandani	4064
aweis	60
bradpowers	225
bsmall	4968
bsmith	1
cfitzhugh	15390
cgallello	3
clandey	2358
cmarra	554
coffenbacher	6856
crouleau	12253
cwang	7954
czwiebel	3546
dannyb	3
dbathgate	5884
ddougherty	11615
dsotingco	105
ebyun	1225
echisa	6288
ekolker	3687
eoleynikova	3491
esheldon	14987
fbalestra	16
gdavidoff	14714
hjaffe	11965
hsarver	1835
jgorasia	10356
jizraelevitz	29576
jkeene	1346
jli	190
jma	4943
jmccandless	10942
jmiller	14626
jmoore1	4448
jmurray	4144
jrucker	17976
jsimonovich	10055
jstanton	82
jswitzer	8763
jwest	8915
kdellaPorta	685
kelliott	20725
kmiller	4689
kschults	15514
lgerhat	4819
lkaye	12663
lmendelson	29658
malv	1
malvarado	19937
mbejar	4896
mbittner	557
mboes	5596
mdunn	4644
melsenbeck	7759
mfarison	4850
mkorpusik	3378
mlavine	11938
mmurphy	11152
mmurray	9950
mstark	1433
nhobbs	5136
nlee	2
nmattison	16917
rmacklin	23094
rmcmullen	13249
rmitchell	11296
rnancollas	5689
rrangan	3791
rstedman	14361
rzeller	13766
sallen	17056
santol	29077
sthomson	11689
swaskom	3358
szimmerman	4482
szimmermann	10737
traymond	3177
vdimitrov	3067
vmani	5356
xziemba	3702
yli	6629
zkratzer	10216
znewell	24333
