DATE(time)	COUNT(*)
2007-12-18	54
2007-12-19	1
2008-01-24	6
2008-01-25	12
2008-01-27	3
2008-01-28	3
2008-01-29	4
2008-01-30	1
2008-01-31	4
2008-02-01	1
2008-02-02	1
2008-02-06	1
2008-02-16	1
2008-02-29	1
2008-03-01	7
2008-03-02	12
2008-03-03	8
2008-03-04	14
2008-03-05	7
2008-03-06	7
2008-03-07	11
2008-03-08	2
2008-03-09	4
2008-03-10	10
2008-03-11	5
2008-03-12	5
2008-03-13	6
2008-03-16	2
2008-03-18	2
2008-03-23	2
2008-03-24	3
2008-03-25	3
2008-03-26	1
2008-03-27	3
2008-03-28	10
2008-03-29	1
2008-03-31	1
2008-04-02	1
2008-04-04	2
2008-04-06	1
2008-04-07	30
2008-04-08	9
2008-04-09	6
2008-04-12	1
2008-04-13	5
2008-04-14	2
2008-04-15	2
2008-04-19	1
2008-04-20	1
2008-04-24	2
2008-04-27	1
2008-04-29	1
2008-05-02	1
2008-05-03	1
2008-05-07	1
2008-06-01	1
2008-06-03	1
2008-06-04	1
2008-06-10	1
2008-07-06	1
2008-07-24	1
2008-08-27	2
2008-08-28	1
2008-08-29	4
2008-08-30	6
2008-08-31	2
2008-09-01	1
2008-09-02	3
2008-09-03	1
2008-09-04	2
2008-09-06	1
2008-09-11	2
2008-09-12	1
2008-09-13	1
2008-09-16	1
2008-09-17	2
2008-09-18	1
2008-09-21	1
2008-09-22	1
2008-09-24	2
2008-09-26	1
2008-09-27	1
2008-09-28	1
2008-10-05	1
2008-10-06	1
2008-10-07	1
2008-10-09	1
2008-10-10	1
2008-10-16	1
2008-10-22	1
2008-10-23	1
2008-10-24	1
2008-10-29	1
2008-11-14	1
2009-01-20	1
2009-01-26	1
2009-02-20	1
2009-02-21	1
2009-03-22	1
2009-04-01	3
