DATEDIFF(time, '2008-01-01')	COUNT(*)
-14	54
-13	1
23	6
24	12
26	3
27	3
28	4
29	1
30	4
31	1
32	1
36	1
46	1
59	1
60	7
61	12
62	8
63	14
64	7
65	7
66	11
67	2
68	4
69	10
70	5
71	5
72	6
75	2
77	2
82	2
83	3
84	3
85	1
86	3
87	10
88	1
90	1
92	1
94	2
96	1
97	30
98	9
99	6
102	1
103	5
104	2
105	2
109	1
110	1
114	2
117	1
119	1
122	1
123	1
127	1
152	1
154	1
155	1
161	1
187	1
205	1
239	2
240	1
241	4
242	6
243	2
244	1
245	3
246	1
247	2
249	1
254	2
255	1
256	1
259	1
260	2
261	1
264	1
265	1
267	2
269	1
270	1
271	1
278	1
279	1
280	1
282	1
283	1
289	1
295	1
296	1
297	1
302	1
318	1
385	1
391	1
416	1
417	1
446	1
456	3
