placename	COUNT(*)
AC10,in,rm102	10
AC10,in,rm103	1
AC10,in,rm106	1
AC10,in,rm109	45
AC10,in,rm113	21
AC10,in,rm126	120
AC10,in,rm128	17
AC10,out,Machine Shop	3
AC10,out,middle	10
AC10,out,Outside Machine Shop	2
AC10,out,Outside of AC 1st floor North	1
AC10,out,The O	12
AC20,in,Gill\\'s Lab	1
AC20,in,rm204	150
AC20,in,rm206	148
AC20,in,rm208	4
AC20,in,rm209	140
AC20,in,rm212	6
AC20,in,rm213	95
AC20,in,rm218	60
AC20,in,rm226 SCOPE Lab	10
AC20,in,rm228	6
AC20,out,hallway	3
AC20,out,rm202	3
AC20,out,rm203	1
AC20,out,rm213	9
AC20,out,rm219	1
AC20,out,rm229	1
AC25,in,north	1
AC30,in,08	2
AC30,in,rm302	12
AC30,in,rm304	139
AC30,in,rm306	46
AC30,in,rm308	2
AC30,in,rm309	78
AC30,in,rm313	6
AC30,in,rm314 (printer)	4
AC30,in,rm318	36
AC30,in,rm326	53
AC30,in,rm328	158
AC30,out, AC 318	6
AC30,out,AC302	2
AC30,out,middle	1
AC30,out,rm302	5
AC30,out,rm308	1
AC30,out,rm309	16
AC30,out,rm325	1
AC30,out,rm328	2
AC30,out,rm329	1
AC40,in,rm404	4
AC40,in,rm406	3
AC40,in,rm407	2
AC40,in,rm407(Joanne\\'soffice)	1
AC40,in,rm409	14
AC40,in,rm413	115
AC40,in,rm417	49
AC40,in,rm428	7
AC40,out,End	7
AC40,out,rm406	1
AC40,out,rm407	3
AC40,out,rm409	6
AC40,out,rm417	6
AC40,out,rm419	9
AC40,out,rm428	13
CC00,in,east_stairway	3
CC00,in,game_room	2
CC00,in,Mail Room	5
CC05,in,wooden_waterfall	3
CC10,in,computer bar	42
CC10,in,cookies	27
CC10,in,dininghall	26
CC10,in,pizza	2
CC10,in,tables	54
CC10,in,wooden_waterfall	3
CC10,out,middle	4
CC10,out,outside	1
CC10,out,The O	1
CC15,in,other_stairway	1
CC20,in,Board Room	7
CC20,in,Cresecentrm	11
CC20,in,Dining Hall Mezzanine	23
CC20,in,other_stairway	1
CC20,in,rm210	20
CC20,in,rm214	4
CC25,in,other_stairway	1
CC30,in,central area	1
CC30,in,central area hall	4
CC30,in,central area north	1
CC30,in,central area registrar	1
CC30,in,central stairway	1
CC30,in,rm310	5
EH10,in,111 Kitchen	16
EH10,in,121 Team	20
EH10,in,antelounge	1
EH10,in,lounge	18
EH10,in,rm101teamrm	8
EH10,in,rm106	5
EH10,in,rm106 Suite Lounge	5
EH10,in,rm106A	2
EH10,in,rm106F	13
EH10,in,rm106G	1
EH10,in,rm111	1
EH10,in,rm115	59
EH10,in,rm116 (Living Room)	45
EH10,in,rm117	137
EH10,in,rm119	9
EH10,in,rm120	40
EH10,in,rm121	9
EH10,in,rm122	1
EH10,in,rm126B	4
EH10,in,rm128 Lounge	12
EH10,in,rm128A	7
EH10,in,rm129 Lounge	5
EH10,in,rm129E	13
EH10,in,rm129F	10
EH10,out,eastwing	3
EH10,out,GreatLawn 	3
EH10,out,northwing	1
EH10,out,Outside EH front doors.	6
EH20,in,221teamrm	14
EH20,in,antelounge	2
EH20,in,lounge	2
EH20,in,rm201team	5
EH20,in,rm205	10
EH20,in,rm206 Lounge	46
EH20,in,rm206C	2
EH20,in,rm206F	32
EH20,in,rm206G	43
EH20,in,rm207	15
EH20,in,rm209	13
EH20,in,rm215	4
EH20,in,rm217	1
EH20,in,rm219	2
EH20,in,rm220	10
EH20,in,rm228 lounge	4
EH20,in,rm228A	3
EH20,in,rm228B	15
EH20,in,rm228F	78
EH20,out,eastwing	1
EH20,out,westwing	4
EH30,in,306 lounge	4
EH30,in,antelounge	2
EH30,in,lounge	29
EH30,in,rm301	12
EH30,in,rm303	28
EH30,in,rm305	6
EH30,in,rm306B	7
EH30,in,rm306C	16
EH30,in,rm306E	28
EH30,in,rm306F	3
EH30,in,rm306G	2
EH30,in,rm307	53
EH30,in,rm313	12
EH30,in,rm315	35
EH30,in,rm316	39
EH30,in,rm316a	3
EH30,in,rm316c	56
EH30,in,rm317	222
EH30,in,rm321	5
EH30,in,rm328	5
EH30,in,rm329 suite lounge	5
EH30,in,rm329A	30
EH30,in,rm329B	98
EH30,in,rm329E	22
EH30,in,rm3WestTeam	3
EH30,in,teamroom	14
EH30,in,WestTeamrm	9
EH30,out,eastwing	3
EH30,out,northwing	2
EH40,in,antelounge	1
EH40,in,Lounge	5
EH40,in,NorthTeamrm	1
EH40,in,rm401Teamrm	7
EH40,in,rm403	9
EH40,in,rm405	6
EH40,in,rm406A	1
EH40,in,rm406B	2
EH40,in,rm406D	32
EH40,in,rm406F	29
EH40,in,rm409	12
EH40,in,rm413	41
EH40,in,rm415	35
EH40,in,rm416	87
EH40,in,rm416C	1
EH40,in,rm416E	7
EH40,in,rm416F	5
EH40,in,rm417	49
EH40,in,rm418	2
EH40,in,rm420	13
EH40,in,rm421	8
EH40,in,rm422	4
EH40,in,rm428	5
EH40,in,rm428B	2
EH40,in,rm429 Suite	4
EH40,in,rm429F	1
EH40,in,rm4N Suite Lounge	5
EH40,in,teamroom	7
EH40,out,northwing	1
EH40,out,westwing	1
OC00,in,auditorium	36
OC00,in,auditorium_stage	6
OC00,in,Computer Lab	26
OC00,in,Library	70
OC00,in,Library Workroom	6
OC00,in,north_it	4
OC00,in,rm10 (IT Helpdesk)	35
OC00,out,north_it	5
OC10,in,Auditorium	4
OC10,in,library	111
OC10,in,rm110	4
OC10,out,admissions	1
OC10,out,library	1
OC10,out,Main stairway between OC	1
OC20,in,Faculty Lobby	3
OC20,in,Mezzanine	5
OC20,in,rm200	1
OC20,in,rm273	2
OC20,out,rm227	1
OC30,in,Faculty Lobby	6
OC30,in,rm300	1
OC30,in,rm321	1
OC30,in,rm325	21
OC30,in,rm332	4
OC30,in,rm335	5
OC30,in,rm350	1
OC30,in,rm357	1
OC30,in,rm373	3
OC30,out,rm366	1
OC30,out,rm370	2
WH10,in,Antelounge	1
WH10,in,Kitchen	9
WH10,in,Lawn	2
WH10,in,lounge	39
WH10,in,North Nook	11
WH10,in,outside	1
WH10,in,rm105	11
WH10,in,rm107	11
WH10,in,rm118	2
WH10,out,eastwing	1
WH10,out,northwing	2
WH10,out,outside	2
WH10,out,rm124	1
WH10,out,Sukkah	3
WH10,out,westwing	3
WH20,in,antelounge	85
WH20,in,lounge	251
WH20,in,Nook	81
WH20,in,north wing	21
WH20,in,North Wing Nook	26
WH20,in,rm14	3
WH20,in,rm201	12
WH20,in,rm202	24
WH20,in,rm203	9
WH20,in,rm204	40
WH20,in,rm205	75
WH20,in,rm206	9
WH20,in,rm207	93
WH20,in,rm209	42
WH20,in,rm210	33
WH20,in,rm211	2
WH20,in,rm212	40
WH20,in,rm213	104
WH20,in,rm214	18
WH20,in,rm215	43
WH20,in,rm218	30
WH20,in,rm223	33
WH20,in,rm224	10
WH20,in,rm225	60
WH20,in,rm226	17
WH20,in,rm227	146
WH20,in,rm228	13
WH20,in,rm229	40
WH20,in,rm230	7
WH20,in,rm231	18
WH20,in,rm28	3
WH20,in,rm31	1
WH20,out,North Wing Nook	4
