place	user	COUNT(user)
		139
	abarry	678
	abowlby	38
	Administrator	18
	adyer	193
	afabian	287
	agao	114
	ajones	179
	akenvarg	6
	akubitza	201
	aleigh	25
	alevitz	278
	alloyd	352
	amartin	231
	aolsen	186
	apethan	880
	apikler	141
	apradhan	278
	arash	97
	astocks	321
	aushani	610
	auttamchandani	312
	avinash	3
	aweis	10
	awu	755
	b	4
	bcharles	47
	bdieseldorff	157
	bfisher	207
	bradleypowers	82
	bradpowers	9
	bsmall	191
	btaratutin	72
	cfitzhugh	269
	chicks	1
	chris	1
	Chris%20Marra	5
	cmarra	11
	cmcleod	556
	cnguyen	506
	coffenbacher	195
	crouleau	375
	cstokes	210
	ctappan	1325
	cwang	1800
	czwiebel	171
	dbathgate	295
	dcody	277
	dgebhart	111
	dgrieneisen	42
	dnelson	76
	dsotingco	7
	ebyun	1057
	echisa	234
	ekoukina	454
	Elizabeth%20Kneen	7
	emorikawa	3001
	eoleynikova	269
	eschumacher	88
	esheldon	144
	esterling	6
	ESwartz	18
	etowers	149
	etowns	2
	fbalestra	3
	gboggs	51
	gdavidoff	141
	gmarra	924
	gou	4
	greg	2
	gthomas	202
	herman	3
	hjaffe	224
	Ishafer	525
	itcltadm	43
	jadudm	2
	james	83
	jatkinson	65
	jbauer	18
	jcross	383
	jcurtis	215
	jdecew	6
	jessimurray	9
	jgorasia	298
	jharley	106
	jherman	144
	jhiggins	13
	jholler	14
	jhwang	3
	jinman	58
	jizraelevitz	493
	jkeene	60
	jlin	106
	jmccandless	210
	jmeyer	270
	jmiller	659
	jmoore1	49
	jmurray	114
	jregulinski	286
	jrosenwinkel	3
	jrucker	235
	jsanten	2
	jsantos	106
	jsimonovich	362
	jstanton	2
	jswitzer	134
	jwest	816
	jwhong	98
	jzapanta	6
	kadamec	1293
	kcary	3
	kdramstad	269
	kelliott	1776
	kevinbretney	51
	kgonzalez	1
	khicks	18
	kmiller	423
	kmurphy	8
	komanakuttan	1080
	kporta	24
	kschults	409
	ksihlanick	182
	ksimon	315
	kspong	568
	kstadtmueller	854
	kterracciano	673
	ktowers	7
	ldethrow	89
	ldunne	60
	lfirstenberg	227
	lgerhat	286
	lglanville	995
	ljentoft	251
	lkaye	3451
	lmendelson	792
	lreed	15
	lweis	1570
	malvarado	250
	mbejar	98
	mbittner	24
	mboes	17
	mboutelle	47
	mchang	15
	mcrawford	152
	melsenbeck	113
	mhuang	269
	miradu	23
	mlavine	285
	mmorales	340
	mmurphy	258
	mmurray	249
	mritter	650
	mschmidt	124
	mstark	53
	mtaylor1	1
	nhays	49
	nhobbs	297
	nlee	1
	nmartelaro	24
	nmattison	335
	None	4
	nrpayton8	55
	nwittenstein	43
	onionuser	74
	pchung	237
	pdirkse	2195
	pierre	1
	pmandel	289
	pwillemann	164
	rcherney	471
	rcrosby	10
	rkim	186
	rleung	224
	rliu	285
	rmacklin	42
	rmitchell	298
	rnancollas	61
	roland	10
	root	6
	rpratt	3
	rrangan	1036
	rsobecki	190
	rstedman	719
	rwang	73
	rzeller	431
	sallen	226
	santol	508
	sbackus	92
	schao	251
	shiggins	199
	slam	86
	smcclure	109
	ssun	17
	sthompson	266
	sthomson	202
	swaskom	336
	swolpert	127
	szimmerman	109
	szimmermann	393
	szinnen	722
	tindik	346
	tlamar	243
	TMichon	1
	tsmith	116
	vdimitrov	492
	vhsiao	353
	vmani	247
	wandree	296
	wdvorak	8
	wlong	4
	xy	1
	xziemba	242
	yfeng	332
	yli	231
	zbrass	408
	zkratzer	168
	znewell	5008
,in,rm		33
AC10,in,AC%20126	abowlby	64
AC10,in,AC%20126	agao	2
AC10,in,AC%20126	ajones	2
AC10,in,AC%20126	akenvarg	8
AC10,in,AC%20126	alevitz	38
AC10,in,AC%20126	aushani	56
AC10,in,AC%20126	awu	39
AC10,in,AC%20126	bsmall	8
AC10,in,AC%20126	cmcleod	19
AC10,in,AC%20126	crouleau	32
AC10,in,AC%20126	ctappan	8
AC10,in,AC%20126	cwang	21
AC10,in,AC%20126	eoleynikova	22
AC10,in,AC%20126	esheldon	12
AC10,in,AC%20126	jcross	1
AC10,in,AC%20126	jharley	11
AC10,in,AC%20126	jherman	114
AC10,in,AC%20126	jhiggins	9
AC10,in,AC%20126	jinman	4
AC10,in,AC%20126	jizraelevitz	19
AC10,in,AC%20126	jmiller	30
AC10,in,AC%20126	jrosenwinkel	2
AC10,in,AC%20126	kmiller	3
AC10,in,AC%20126	komanakuttan	534
AC10,in,AC%20126	kschults	26
AC10,in,AC%20126	kspong	40
AC10,in,AC%20126	kstadtmueller	38
AC10,in,AC%20126	kterracciano	42
AC10,in,AC%20126	lfirstenberg	27
AC10,in,AC%20126	lgerhat	1
AC10,in,AC%20126	lkaye	30
AC10,in,AC%20126	lmendelson	23
AC10,in,AC%20126	lweis	74
AC10,in,AC%20126	mcrawford	38
AC10,in,AC%20126	melsenbeck	39
AC10,in,AC%20126	nwittenstein	6
AC10,in,AC%20126	pdirkse	71
AC10,in,AC%20126	pmandel	8
AC10,in,AC%20126	rcherney	22
AC10,in,AC%20126	rstedman	20
AC10,in,AC%20126	sallen	20
AC10,in,AC%20126	santol	55
AC10,in,AC%20126	sbackus	1
AC10,in,AC%20126	slam	10
AC10,in,AC%20126	sthompson	8
AC10,in,AC%20126	swaskom	46
AC10,in,AC%20126	swolpert	6
AC10,in,AC%20126	szimmerman	32
AC10,in,AC%20126	szimmermann	3
AC10,in,AC%20126	szinnen	37
AC10,in,AC%20126	tindik	12
AC10,in,AC%20126	vdimitrov	51
AC10,in,AC%20126	yli	17
AC10,in,AC%20126	znewell	2
AC10,in,AC109	ajones	2
AC10,in,AC109	mmorales	6
AC10,in,AC109	pdirkse	10
AC10,in,AC109	SAllen	5
AC10,in,AC109	vhsiao	2
AC10,in,rm102	afabian	39
AC10,in,rm102	akubitza	1
AC10,in,rm102	alevitz	10
AC10,in,rm102	alloyd	6
AC10,in,rm102	aolsen	39
AC10,in,rm102	apethan	13
AC10,in,rm102	apikler	6
AC10,in,rm102	aushani	16
AC10,in,rm102	awu	6
AC10,in,rm102	cfitzhugh	22
AC10,in,rm102	coffenbacher	51
AC10,in,rm102	crouleau	1
AC10,in,rm102	cwang	3
AC10,in,rm102	czwiebel	36
AC10,in,rm102	dbathgate	18
AC10,in,rm102	dcody	3
AC10,in,rm102	dgrieneisen	8
AC10,in,rm102	echisa	26
AC10,in,rm102	ekoukina	7
AC10,in,rm102	gdavidoff	2
AC10,in,rm102	gthomas	4
AC10,in,rm102	jcross	1
AC10,in,rm102	jcurtis	36
AC10,in,rm102	jgorasia	14
AC10,in,rm102	jharley	8
AC10,in,rm102	jherman	13
AC10,in,rm102	jizraelevitz	15
AC10,in,rm102	jregulinski	1
AC10,in,rm102	jsimonovich	13
AC10,in,rm102	jswitzer	11
AC10,in,rm102	jwest	20
AC10,in,rm102	kadamec	10
AC10,in,rm102	kelliott	1
AC10,in,rm102	kmiller	1
AC10,in,rm102	kschults	4
AC10,in,rm102	ksimon	8
AC10,in,rm102	ldethrow	1
AC10,in,rm102	lfirstenberg	4
AC10,in,rm102	lmendelson	4
AC10,in,rm102	lweis	1
AC10,in,rm102	mbejar	3
AC10,in,rm102	melsenbeck	12
AC10,in,rm102	mmorales	57
AC10,in,rm102	mmurphy	5
AC10,in,rm102	mmurray	1
AC10,in,rm102	pchung	63
AC10,in,rm102	pdirkse	139
AC10,in,rm102	pmandel	1
AC10,in,rm102	rcherney	7
AC10,in,rm102	rmitchell	2
AC10,in,rm102	rsobecki	7
AC10,in,rm102	rstedman	4
AC10,in,rm102	sallen	1
AC10,in,rm102	santol	28
AC10,in,rm102	sbackus	5
AC10,in,rm102	schao	84
AC10,in,rm102	Shiggins	4
AC10,in,rm102	slam	4
AC10,in,rm102	sthompson	1
AC10,in,rm102	sthomson	4
AC10,in,rm102	swaskom	1
AC10,in,rm102	szimmermann	2
AC10,in,rm102	szinnen	3
AC10,in,rm102	tindik	3
AC10,in,rm102	tsmith	3
AC10,in,rm102	wandree	17
AC10,in,rm102	xziemba	11
AC10,in,rm102	yfeng	6
AC10,in,rm102	yli	5
AC10,in,rm102	zbrass	2
AC10,in,rm103	abarry	1
AC10,in,rm103	crouleau	13
AC10,in,rm103	esheldon	1
AC10,in,rm103	jizraelevitz	1
AC10,in,rm103	lkaye	1
AC10,in,rm103	nhobbs	3
AC10,in,rm103	sbackus	4
AC10,in,rm103	szimmermann	4
AC10,in,rm103	szinnen	2
AC10,in,rm106	esheldon	2
AC10,in,rm106	gthomas	1
AC10,in,rm106	pdirkse	1
AC10,in,rm106	xziemba	1
AC10,in,rm109	abarry	24
AC10,in,rm109	adyer	9
AC10,in,rm109	afabian	3
AC10,in,rm109	ajones	46
AC10,in,rm109	akubitza	27
AC10,in,rm109	alevitz	22
AC10,in,rm109	alloyd	1
AC10,in,rm109	aolsen	1
AC10,in,rm109	astocks	6
AC10,in,rm109	aushani	57
AC10,in,rm109	awu	94
AC10,in,rm109	bcharles	71
AC10,in,rm109	bfisher	1
AC10,in,rm109	bsmall	7
AC10,in,rm109	btaratutin	14
AC10,in,rm109	cfitzhugh	7
AC10,in,rm109	coffenbacher	1
AC10,in,rm109	crouleau	37
AC10,in,rm109	ctappan	1
AC10,in,rm109	cwang	50
AC10,in,rm109	czwiebel	10
AC10,in,rm109	dcody	26
AC10,in,rm109	dgebhart	43
AC10,in,rm109	dnelson	15
AC10,in,rm109	echisa	6
AC10,in,rm109	ekoukina	2
AC10,in,rm109	emorikawa	2
AC10,in,rm109	eoleynikova	4
AC10,in,rm109	esheldon	15
AC10,in,rm109	etowers	2
AC10,in,rm109	greg	2
AC10,in,rm109	gthomas	14
AC10,in,rm109	ishafer	1
AC10,in,rm109	jcross	182
AC10,in,rm109	jcurtis	26
AC10,in,rm109	jgorasia	64
AC10,in,rm109	jharley	11
AC10,in,rm109	jherman	6
AC10,in,rm109	jizraelevitz	26
AC10,in,rm109	jkeene	23
AC10,in,rm109	jlin	10
AC10,in,rm109	jmccandless	3
AC10,in,rm109	jmeyer	5
AC10,in,rm109	jmiller	8
