user	place	COUNT(user)
		139
	,in,rm	33
	EH30,in,rm306G	118
	WH40,in,rm404	2
abarry		678
abarry	AC10,in,rm103	1
abarry	AC10,in,rm109	24
abarry	AC10,in,rm113	7
abarry	AC10,in,rm126	1
abarry	AC10,out,middle	1
abarry	AC10,out,Outside%20Machine%20Shop	2
abarry	AC10,out,The%20O	1
abarry	AC20,in,rm204	1
abarry	AC20,in,rm206	1
abarry	AC20,in,rm209	140
abarry	AC20,in,rm213	12
abarry	AC20,in,rm218	68
abarry	AC20,in,rm226%20SCOPE%20Lab	263
abarry	AC25,in,north	1
abarry	AC30,in,08	6
abarry	AC30,in,rm301	8
abarry	AC30,in,rm302	26
abarry	AC30,in,rm304	53
abarry	AC30,in,rm306	39
abarry	AC30,in,rm309	386
abarry	AC30,in,rm313	19
abarry	AC30,in,rm314%20(printer)	5
abarry	AC30,in,rm318	6
abarry	AC30,in,rm326	2
abarry	AC30,in,rm328	15
abarry	AC30,out,rm309	86
abarry	AC30,out,rm328	1
abarry	AC40,in,rm407	1
abarry	AC40,in,rm428	26
abarry	AC40,out,rm409	4
abarry	AC40,out,rm419	1
abarry	AC40,out,rm428	2
abarry	CC00,in,Mailrm	1
abarry	CC10,in,computer%20bar	1
abarry	CC10,in,cookies	10
abarry	CC10,in,dininghall	3
abarry	CC10,in,tables	7
abarry	CC20,in,Dining%20Hall%20Mezzanine	4
abarry	CC30,in,central_area_hall	1
abarry	EH10,in,111%20Kitchen	10
abarry	EH10,in,121%20Team	3
abarry	EH10,in,EH117	3
abarry	EH10,in,lounge	2
abarry	EH10,in,rm101teamrm	16
abarry	EH10,in,rm115	46
abarry	EH10,in,rm117	74
abarry	EH10,in,rm119	2
abarry	EH10,in,rm120	7
abarry	EH10,in,rm121	21
abarry	EH10,in,rm126B	10
abarry	EH10,in,rm128%20Lounge	28
abarry	EH10,in,rm128A	2
abarry	EH10,in,rm129%20Lounge	25
abarry	EH10,in,rm129E	25
abarry	EH10,in,rm129F	65
abarry	EH10,out,eastwing	1
abarry	EH10,out,Outside%20EH%20front%20doors.	2
abarry	EH20,in,221teamrm	16
abarry	EH20,in,rm201team	1
abarry	EH20,in,rm206%20Lounge	1
abarry	EH30,in,lounge	16
abarry	EH30,in,rm303	9
abarry	EH30,in,rm307	5
abarry	EH30,in,rm313	2
abarry	EH30,in,rm315	1
abarry	EH30,in,rm316c	2
abarry	EH30,in,rm317	4
abarry	EH30,in,rm321	12
abarry	EH30,in,rm328	2
abarry	EH30,in,rm3WestTeam	5
abarry	EH30,in,teamroom	26
abarry	EH30,in,WestTeamrm	34
abarry	EH40,in,rm401Teamrm	1
abarry	EH40,in,rm420	2
abarry	EH40,in,rm421	10
abarry	EH40,in,rm428	2
abarry	EH40,in,teamroom	2
abarry	EH40,out,northwing	1
abarry	OC00,in,auditorium	1
abarry	OC00,in,auditorium_stage	1
abarry	OC00,in,Comptuer%20Lab	3
abarry	OC00,in,Computer%20Lab	2
abarry	OC00,in,Library	134
abarry	OC00,in,rm10%20(IT%20Helpdesk)	2
abarry	OC00,in,testing	1
abarry	OC00,out,north_it	2
abarry	OC10,in,library	69
abarry	OC10,out,admissions	3
abarry	OC20,in,Faculty%20Lobby	3
abarry	OC20,in,Mezzanine	2
abarry	OC20,in,OC275	2
abarry	OC20,in,rm200	1
abarry	OC20,out,rm227	1
abarry	OC30,in,Faculty%20Lobby	16
abarry	OC30,in,Mezzanine	5
abarry	OC30,in,rm300	1
abarry	OC30,in,rm321	1
abarry	OC30,in,rm325	11
abarry	OC30,in,rm332	4
abarry	OC30,in,rm335	1
abarry	OC30,in,rm350	3
abarry	OC30,in,rm373	1
abarry	OC30,out,rm329	1
abarry	OC30,out,rm366	1
abarry	OC30,out,rm370	5
abarry	WH10,in,Kitchen	23
abarry	WH10,out,northwing	1
abarry	WH20,in,antelounge	21
abarry	WH20,in,lounge	51
abarry	WH20,in,Nook	18
abarry	WH20,in,north%20wing	18
abarry	WH20,in,rm201	1
abarry	WH20,in,rm202	15
abarry	WH20,in,rm207	1
abarry	WH20,in,rm213	1
abarry	WH20,in,rm215	2
abarry	WH20,in,rm218	9
abarry	WH20,in,rm225	2
abarry	WH20,in,rm226	2
abarry	WH20,out,westwing	1
abarry	WH30,in,309	3
abarry	WH30,in,antelounge	92
abarry	WH30,in,Laundryrm	1
abarry	WH30,in,lounge	59
abarry	WH30,in,North%20Wing	10
abarry	WH30,in,rm301	2
abarry	WH30,in,rm302	91
abarry	WH30,in,rm303	6
abarry	WH30,in,rm309	457
abarry	WH30,in,rm312	87
abarry	WH30,in,rm315	6
abarry	WH30,in,rm318	6
abarry	WH30,in,rm324	26
abarry	WH30,in,rm326	23
abarry	WH30,in,rm329	2
abarry	WH30,in,Room309	1
abarry	WH30,in,test	2
abarry	WH30,out,northwing	1
abarry	WH30,out,rm309	6
abarry	WH40,in,antelounge	1
abarry	WH40,in,lounge	2
abarry	WH40,in,rm402	24
abarry	WH40,in,rm403	1
abarry	WH40,in,rm411	2
abarry	WH40,in,rm418	7
abarry	WH40,in,rm420	2
abarry	WH40,in,rm431	2
abarry	WH40,out,Antelounge	4
abowlby		38
abowlby	AC10,in,AC%20126	64
abowlby	AC10,in,rm113	5
abowlby	AC10,in,rm126	10
abowlby	AC20,in,rm204	2
abowlby	AC20,in,rm209	5
abowlby	AC20,in,rm213	29
abowlby	AC20,in,rm218	7
abowlby	AC20,in,rm228	3
abowlby	AC30,in,rm309	3
abowlby	AC30,in,rm318	22
abowlby	AC30,in,rm326	38
abowlby	AC30,in,rm328	47
abowlby	AC30,out,%20AC%20318	5
abowlby	AC30,out,rm309	23
abowlby	AC40,in,rm409	24
abowlby	AC40,in,rm413	174
abowlby	AC40,in,rm417	6
abowlby	AC40,in,rm428	1
abowlby	AC40,out,rm409	18
abowlby	AC40,out,rm417	8
abowlby	AC40,out,rm419	5
abowlby	AC40,out,rm428	2
abowlby	CC00,in,east_stairway	1
abowlby	CC10,in,dininghall	1
abowlby	CC10,in,tables	3
abowlby	CC20,in,Board%20Room	2
abowlby	CC20,in,Cresecentrm	4
abowlby	CC30,in,central_area_registrar	2
abowlby	OC00,in,auditorium	2
abowlby	OC00,in,auditorium_stage	4
abowlby	OC00,in,Computer%20Lab	3
abowlby	OC00,in,Library	22
abowlby	OC00,in,rm10%20(IT%20Helpdesk)	1
abowlby	OC00,out,north_it	5
abowlby	OC10,in,library	8
abowlby	OC10,in,rm110	1
abowlby	OC20,in,Mezzanine	1
abowlby	OC20,in,rm200	3
abowlby	OC30,in,Faculty%20Lobby	1
