username	placename
	AC10,out,middle
	AC10,out,The O
	AC20,in,rm206
	AC20,in,rm209
	AC20,in,rm213
	AC20,in,rm218
	AC20,out,rm202
	AC20,out,rm203
	AC20,out,rm213
	AC20,out,rm219
	AC20,out,rm229
	AC25,in,north
	AC30,in,rm304
	AC30,in,rm318
	AC30,in,rm328
	AC30,out,middle
	AC30,out,rm302
	AC30,out,rm308
	AC30,out,rm309
	AC30,out,rm328
	AC30,out,rm329
	AC40,in,rm409
	AC40,out,rm417
	AC40,out,rm419
	AC40,out,rm428
	CC00,in,east_stairway
	CC00,in,game_room
	CC05,in,wooden_waterfall
	CC10,in,cookies
	CC10,in,dininghall
	CC10,in,pizza
	CC10,in,tables
	CC10,in,wooden_waterfall
	CC10,out,middle
	CC10,out,outside
	CC15,in,other_stairway
	CC20,in,other_stairway
	CC25,in,other_stairway
	CC30,in,central area
	CC30,in,central area hall
	CC30,in,central area north
	CC30,in,central area registrar
	CC30,in,central stairway
	EH10,in,antelounge
	EH10,in,lounge
	EH10,in,rm115
	EH10,in,rm120
	EH10,out,eastwing
	EH10,out,northwing
	EH20,in,antelounge
	EH20,out,eastwing
	EH20,out,westwing
	EH30,in,antelounge
	EH30,in,rm313
	EH30,in,rm315
	EH30,in,rm316
	EH30,in,rm316a
	EH30,in,rm317
	EH30,in,teamroom
	EH30,out,eastwing
	EH30,out,northwing
	EH40,in,antelounge
	EH40,in,rm406D
	EH40,in,teamroom
	EH40,out,northwing
	EH40,out,westwing
	OC00,in,auditorium
	OC00,in,north_it
	OC00,out,north_it
	OC10,in,library
	OC10,out,admissions
	OC10,out,library
	OC10,out,Main stairway between OC
	WH10,in,lounge
	WH10,out,eastwing
	WH10,out,northwing
	WH10,out,westwing
	WH20,in,lounge
	WH20,out,westwing
	WH30,in,antelounge
	WH30,in,lounge
	WH30,in,rm309
	WH30,in,rm318
	WH30,out,northwing
	WH30,out,rm309
	WH30,out,westwing
	WH40,in,antelounge
	WH40,in,lounge
	WH40,in,rm409
	WH40,in,rm410
	WH40,in,rm413
	WH40,in,rm415
	WH40,out,eastwing
	WH40,out,northwing
	WH40,out,westwing
abarry	AC10,in,rm109
abarry	AC10,in,rm113
abarry	AC20,in,rm209
abarry	AC20,in,rm218
abarry	AC20,in,rm226 SCOPE Lab
abarry	AC30,in,rm302
abarry	AC30,in,rm304
abarry	AC30,in,rm306
abarry	AC30,in,rm309
abarry	AC30,in,rm313
abarry	AC30,in,rm318
abarry	AC30,out, AC 318
abarry	AC30,out,rm309
abarry	AC40,out,End
abarry	AC40,out,rm409
abarry	CC00,in,Mail Room
abarry	CC10,in,cookies
abarry	CC10,in,dininghall
abarry	CC10,in,tables
abarry	CC20,in,Dining Hall Mezzanine
abarry	EH10,in,rm101teamrm
abarry	EH10,in,rm115
abarry	EH10,in,rm117
abarry	EH10,in,rm121
abarry	EH10,in,rm129 Lounge
abarry	EH10,in,rm129F
abarry	EH30,in,lounge
abarry	EH30,in,rm321
abarry	EH30,in,teamroom
abarry	EH30,in,WestTeamrm
abarry	EH40,in,rm421
abarry	EH40,in,rm428
abarry	OC00,in,Computer Lab
abarry	OC00,in,Library
abarry	OC10,in,library
abarry	OC20,in,Faculty Lobby
abarry	OC20,in,Mezzanine
abarry	OC20,in,rm200
abarry	OC20,out,rm227
abarry	OC30,in,Faculty Lobby
abarry	OC30,in,rm300
abarry	OC30,in,rm321
abarry	OC30,in,rm325
abarry	OC30,in,rm350
abarry	OC30,out,rm366
abarry	OC30,out,rm370
abarry	WH20,in,antelounge
abarry	WH20,in,lounge
abarry	WH20,in,north wing
abarry	WH20,in,rm202
abarry	WH30,in,antelounge
abarry	WH30,in,lounge
abarry	WH30,in,North Wing
abarry	WH30,in,rm302
abarry	WH30,in,rm309
abarry	WH30,in,rm312
abarry	WH30,in,rm326
abarry	WH30,out,rm309
abarry	WH40,in,lounge
abarry	WH40,in,rm402
abowlby	WH20,in,rm201
adyer	AC10,out,The O
adyer	AC20,in,rm209
adyer	AC40,in,rm428
adyer	EH10,in,rm128 Lounge
adyer	EH10,in,rm128A
adyer	EH30,in,rm306C
adyer	WH40,in,antelounge
Afabian	WH20,in,lounge
Afabian	WH20,in,north wing
Afabian	WH20,in,North Wing Nook
Afabian	WH20,in,rm224
agao	WH30,in,antelounge
agao	WH40,in,lounge
ajones	AC10,out,middle
ajones	AC20,in,rm204
ajones	CC20,in,rm210
ajones	EH10,in,lounge
ajones	EH10,in,rm119
akenvarg	AC30,in,rm326
akenvarg	AC40,in,rm413
akenvarg	OC00,in,auditorium
akenvarg	WH30,in,lounge
akubitza	WH10,in,lounge
akubitza	WH20,in,rm223
akubitza	WH20,in,rm225
akubitza	WH40,in,rm402
aleigh	AC10,in,rm126
aleigh	AC20,in,rm206
aleigh	EH20,in,lounge
