placename	time
AC30,in,rm318	2007-12-18 02:25:52
AC30,out,rm328	2007-12-18 02:27:36
AC40,out,rm419	2007-12-18 02:27:36
AC20,out,rm219	2007-12-18 02:27:36
AC20,out,rm203	2007-12-18 02:27:36
AC20,out,rm202	2007-12-18 02:27:36
AC25,in,north	2007-12-18 02:27:36
AC30,out,rm329	2007-12-18 02:27:36
AC20,out,rm229	2007-12-18 02:27:36
AC40,out,rm417	2007-12-18 02:27:36
AC20,out,rm213	2007-12-18 02:27:36
AC30,out,rm302	2007-12-18 02:27:36
AC30,out,middle	2007-12-18 02:27:36
AC30,out,rm308	2007-12-18 02:27:36
EH10,in,lounge	2007-12-18 02:32:53
EH40,out,northwing	2007-12-18 02:32:53
EH20,out,eastwing	2007-12-18 02:32:53
EH30,out,northwing	2007-12-18 02:32:53
EH10,out,eastwing	2007-12-18 02:32:53
EH40,out,westwing	2007-12-18 02:32:53
EH10,out,northwing	2007-12-18 02:32:53
EH30,in,antelounge	2007-12-18 02:32:53
EH10,in,antelounge	2007-12-18 02:32:53
EH40,in,antelounge	2007-12-18 02:32:53
WH10,out,northwing	2007-12-18 02:38:39
WH10,out,westwing	2007-12-18 02:38:39
WH30,out,westwing	2007-12-18 02:38:39
WH30,out,northwing	2007-12-18 02:38:39
WH10,in,lounge	2007-12-18 02:38:39
WH20,out,westwing	2007-12-18 02:38:39
WH10,out,eastwing	2007-12-18 02:38:39
OC10,out,admissions	2007-12-18 02:50:07
CC10,out,outside	2007-12-18 02:50:07
AC10,out,The O	2007-12-18 02:50:07
CC30,in,central area	2007-12-18 02:50:07
OC10,out,Main stairway between OC	2007-12-18 02:50:07
CC10,in,pizza	2007-12-18 02:50:07
CC30,in,central area registrar	2007-12-18 02:50:07
OC00,in,north_it	2007-12-18 02:50:07
CC05,in,wooden_waterfall	2007-12-18 02:50:07
CC25,in,other_stairway	2007-12-18 02:50:07
CC15,in,other_stairway	2007-12-18 02:50:07
AC10,out,middle	2007-12-18 02:50:07
OC10,out,library	2007-12-18 02:50:07
CC30,in,central stairway	2007-12-18 02:50:07
CC10,out,middle	2007-12-18 02:50:07
CC30,in,central area north	2007-12-18 02:50:07
OC00,out,north_it	2007-12-18 02:50:07
CC10,in,wooden_waterfall	2007-12-18 02:50:07
CC30,in,central area hall	2007-12-18 02:50:07
OC00,in,auditorium	2007-12-18 02:50:07
CC00,in,game_room	2007-12-18 02:50:07
CC20,in,other_stairway	2007-12-18 02:50:07
WH30,out,rm309	2007-12-18 19:28:23
AC40,out,rm428	2007-12-19 17:12:28
WH40,out,eastwing	2008-01-24 23:28:28
WH40,in,lounge	2008-01-24 23:37:01
WH20,in,lounge	2008-01-24 23:40:35
WH40,out,westwing	2008-01-24 23:43:41
WH40,in,rm410	2008-01-24 23:51:10
EH20,out,westwing	2008-01-24 23:56:44
EH30,in,rm316	2008-01-25 00:32:55
EH30,out,eastwing	2008-01-25 00:46:55
EH30,in,rm313	2008-01-25 00:53:01
EH40,in,rm406D	2008-01-25 01:36:44
WH40,in,rm409	2008-01-25 14:38:45
WH30,in,rm318	2008-01-25 16:30:30
WH40,in,rm415	2008-01-25 16:49:17
CC10,in,cookies	2008-01-25 18:00:58
