time	DATEDIFF(DATE(time), '2007-12-31 00:00:00')	COUNT(*)
2008-03-03 15:08:29	63	10
2008-03-04 15:17:05	64	1
2008-03-05 09:16:53	65	20
2008-03-06 15:03:13	66	75
2008-03-07 13:01:48	67	15
2008-03-08 10:12:50	68	16
2008-03-09 14:06:41	69	11
2008-03-10 15:33:01	70	58
2008-03-11 15:18:49	71	15
2008-03-12 09:01:05	72	27
2008-03-13 13:07:30	73	92
2008-03-14 08:17:01	74	25
2008-03-20 13:12:04	80	3
2008-03-24 15:01:34	84	62
2008-03-25 13:02:24	85	82
2008-03-26 21:01:01	86	57
2008-03-27 15:13:50	87	83
2008-03-28 11:06:34	88	12
2008-03-30 21:02:30	90	11
2008-03-31 15:12:09	91	67
2008-04-01 14:13:05	92	42
2008-04-02 10:16:28	93	32
2008-04-03 15:07:31	94	44
2008-04-04 09:10:34	95	11
2008-04-06 21:28:16	97	4
2008-04-07 15:13:08	98	72
2008-04-08 13:29:45	99	34
2008-04-09 19:03:12	100	9
2008-04-10 15:05:10	101	131
2008-04-11 09:02:12	102	11
2008-04-12 09:10:39	103	12
2008-04-13 21:02:25	104	6
2008-04-14 15:03:38	105	99
2008-04-15 13:06:45	106	70
2008-04-16 09:08:46	107	67
2008-04-17 15:06:59	108	63
2008-04-18 10:10:57	109	15
2008-04-20 21:08:52	111	5
2008-04-21 18:41:10	112	2
2008-04-22 14:01:06	113	52
2008-04-23 21:39:29	114	78
2008-04-24 15:00:52	115	69
2008-04-25 20:11:32	116	46
2008-04-27 20:53:42	118	20
2008-04-28 15:03:40	119	65
2008-04-29 19:05:32	120	37
2008-04-30 20:21:58	121	93
2008-05-01 14:31:00	122	51
2008-05-04 21:27:39	125	2
2008-05-06 08:09:16	127	9
2008-05-08 13:18:28	129	7
2008-05-09 12:04:54	130	4
2008-06-02 11:47:37	154	16
2008-06-04 14:01:36	156	9
2008-06-05 10:19:39	157	12
2008-06-06 10:15:10	158	6
2008-06-09 11:07:04	161	6
2008-06-10 13:54:57	162	16
2008-06-11 10:04:29	163	26
2008-06-12 10:41:41	164	10
2008-06-13 10:15:45	165	11
2008-06-16 10:15:28	168	25
2008-06-17 13:54:47	169	12
2008-06-18 10:42:27	170	25
2008-06-19 13:50:06	171	8
2008-06-20 10:57:14	172	19
2008-06-23 12:17:58	175	8
2008-06-24 14:00:28	176	13
2008-06-25 10:33:48	177	26
2008-06-26 10:23:52	178	27
2008-06-27 10:29:23	179	24
2008-06-30 10:26:45	182	19
2008-07-02 15:33:40	184	9
2008-07-03 10:35:00	185	35
2008-07-07 10:29:37	189	27
2008-07-08 10:25:31	190	12
2008-07-09 10:25:40	191	31
2008-07-10 11:17:57	192	19
2008-07-11 11:34:35	193	2
2008-07-14 11:08:55	196	17
2008-07-15 10:19:57	197	27
2008-07-16 10:13:26	198	28
2008-07-17 13:39:25	199	15
2008-07-18 13:54:20	200	2
2008-07-21 13:34:02	203	8
2008-07-22 10:19:38	204	21
2008-07-23 13:56:23	205	9
2008-07-24 13:41:44	206	5
2008-07-25 14:15:30	207	6
2008-07-28 14:18:13	210	6
2008-07-29 10:29:52	211	22
2008-07-30 14:02:19	212	14
2008-07-31 13:54:13	213	11
2008-08-01 13:47:08	214	12
2008-08-04 13:45:19	217	9
2008-08-05 10:28:00	218	20
2008-08-06 13:56:34	219	1
2008-08-28 13:53:26	241	5
2008-08-29 10:38:28	242	18
2008-08-31 13:58:30	244	3
2008-09-02 10:00:32	246	15
2008-09-03 17:12:00	247	19
2008-09-04 17:14:05	248	26
2008-09-05 13:08:17	249	58
2008-09-08 13:10:42	252	30
2008-09-09 10:10:23	253	21
2008-09-11 14:15:53	255	5
2008-09-12 11:20:31	256	15
2008-09-13 17:08:08	257	4
2008-09-15 13:07:58	259	74
2008-09-16 10:04:14	260	20
2008-09-17 17:22:40	261	1
2008-09-18 17:08:44	262	28
2008-09-19 13:04:48	263	60
2008-09-22 13:35:56	266	43
2008-09-23 10:02:09	267	23
2008-09-24 14:23:08	268	1
2008-09-25 16:40:37	269	65
2008-09-26 13:18:55	270	47
2008-09-29 13:00:34	273	76
2008-09-30 10:11:36	274	24
2008-10-01 16:01:38	275	11
2008-10-02 09:22:21	276	1
2008-10-03 13:09:54	277	50
2008-10-06 13:43:04	280	65
2008-10-07 10:07:52	281	47
2008-10-08 16:12:06	282	4
2008-10-09 16:09:14	283	48
2008-10-10 13:30:37	284	49
2008-10-14 14:21:40	288	31
2008-10-15 16:01:13	289	6
2008-10-16 16:12:15	290	35
2008-10-17 10:06:58	291	35
2008-10-20 13:18:13	294	79
2008-10-21 10:44:40	295	45
2008-10-22 17:28:37	296	7
2008-10-23 17:33:33	297	57
