username	COUNT(*)
	193
abarry	311
abowlby	2
adyer	28
Afabian	14
agao	2
ajones	15
akenvarg	12
akubitza	4
aleigh	55
alevitz	116
alloyd	91
amartin	90
aolsen	27
apethan	19
apikler	13
apradhan	97
arash	8
astocks	178
aushani	167
auttamchandani	70
avinash	2
aweis	8
awu	117
b	6
bcharles	80
bdieseldorff	62
bfisher	40
bradleypowers	84
bradpowers	23
bsmall	53
btaratutin	10
cfitzhugh	40
chicks	1
Chris Marra	3
cmarra	18
cmcleod	31
cnguyen	51
coffenbacher	36
crouleau	110
cstokes	325
ctappan	6
cwang	12
czwiebel	7
dbathgate	25
dcody	63
ddougherty	465
dgebhart	18
dgrieneisen	20
dnelson	2
dsotingco	8
ebyun	40
echisa	95
ekoukina	75
emorikawa	19
eoleynikova	49
eschumacher	10
esheldon	41
eswartz	23
etowers	4
etowns	7
fbalestra	2
gboggs	11
gdavidoff	12
gmarra	66
gou	2
greg	9
gthomas	28
hjaffe	11
ishafer	16
itcltadm	1
jadudm	5
james	2
jatkinson	10
jbauer	5
jcross	61
jcurtis	33
jessimurray	1
jgorasia	4
jharley	184
jherman	159
jhiggins	8
jholler	14
jhwang	3
jinman	45
jizraelevitz	8
jkeene	3
jlin	8
jmccandless	25
jmeyer	9
jmiller	76
jmoore1	102
jmurray	20
jregulinski	10
jrosenwinkel	2
jrucker	45
jsanten	5
jsantos	168
jsimonovich	274
jstanton	31
jswitzer	6
jwest	22
jwhong	1
jzapanta	5
kadamec	29
kdramstad	28
kelliott	114
kevinbretney	3
kgonzalez	1
khicks	25
kmiller	20
kmurphy	5
komanakuttan	4
kporta	10
kschults	148
ksihlanick	120
ksimon	12
kspong	1
kstadtmueller	47
kterracciano	15
ktowers	4
ldethrow	13
ldunne	29
lgerhat	338
lglanville	11
ljentoft	38
lkaye	41
lmendelson	60
lreed	23
lweis	76
malvarado	6
mbejar	14
mbittner	4
mboes	16
mboutelle	17
mchang	67
mcrawford	163
melsenbeck	27
mhuang	5
miradu	16
mlavine	10
mmorales	74
mmurphy	19
mmurray	45
mritter	24
mschmidt	11
mstark	77
mtaylor1	2
nhays	15
nhobbs	2
Nick	1
nlee	1
nmartelaro	21
nmattison	9
nrpayton8	28
nwittenstein	12
pchung	10
pdirkse	20
pierre	1
pmandel	12
pwillemann	9
rcherney	54
rcrosby	17
rkim	72
rleung	3
rliu	17
rmacklin	1
rmitchell	26
roland	1
root	3
rpratt	4
rrangan	47
rsobecki	16
rstedman	4
rwang	21
rzeller	72
SAllen	85
santol	80
sbackus	90
schao	76
shiggins	33
slam	2
smcclure	40
ssun	4
sthompson	25
sthomson	34
swaskom	21
swolpert	34
szimmerman	45
szimmermann	25
szinnen	5
tindik	14
tlamar	7
tsmith	37
vdimitrov	15
vhsiao	47
vmani	62
wandree	51
wdvorak	5
xy	1
xziemba	100
yfeng	76
yli	24
zbrass	29
zkratzer	40
znewell	30
