user	MIN(date)
abarry	2008-03-01 04:36:54
abowlby	2008-03-04 20:21:17
AC306	2008-10-31 01:51:39
AC409	2008-10-31 01:52:11
Administrator	2008-03-09 01:33:20
adyer	2008-04-08 00:49:40
afabian	2008-08-30 23:49:00
agao	2008-03-25 21:24:24
ajones	2008-03-05 20:06:49
akenvarg	2008-03-02 20:55:26
akubitza	2008-08-29 19:49:26
Al%20Gore	2008-10-31 01:47:00
Albus%20Dumbledore	2008-10-29 19:00:08
aleigh	2008-08-30 18:55:37
alevitz	2008-03-02 14:22:57
alloyd	2008-08-29 09:40:55
amartin	2008-04-08 09:10:46
Andy%20Rooney	2008-10-31 01:46:59
aolsen	2008-03-06 23:58:09
apethan	2008-03-03 15:39:36
apikler	2008-09-01 21:17:10
apradhan	2008-03-02 13:20:41
Aragog	2008-10-29 19:00:08
arash	2008-04-07 10:59:09
astocks	2008-08-28 12:37:11
aushani	2008-03-04 10:05:14
auttamchandani	2008-03-11 15:04:04
avinash	2008-03-13 17:39:41
aweis	2008-03-05 10:33:28
awu	2008-03-16 02:15:02
b	2008-04-08 20:21:16
Barack%20Obama	2008-10-31 01:46:59
Barty%20Crouch%20Jr	2008-10-29 19:00:08
bcharles	2008-04-07 22:59:27
bdieseldorff	2008-03-02 19:09:53
Bellatrix%20Black	2008-10-29 19:00:08
Ben%20Stein	2008-10-31 01:51:58
bfisher	2008-03-01 18:28:40
Bill%20Gates	2008-10-31 01:51:47
bradleypowers	2008-03-29 17:37:43
bradpowers	2009-02-04 23:44:08
bsmall	2008-03-05 13:54:41
btaratutin	2008-08-28 23:16:07
Buckbeak	2008-10-29 19:00:08
Cedric%20Diggory	2008-10-29 19:00:08
cfitzhugh	2008-08-29 09:35:02
chicks	2008-08-29 16:08:52
Cho%20Chang	2008-10-29 19:00:08
chris	2008-09-22 01:03:33
Chris%20Marra	2009-01-21 23:05:01
cmarra	2008-08-28 12:35:38
cmcleod	2008-04-07 12:09:03
cnguyen	2008-03-03 15:53:19
coff	2008-10-12 01:35:58
coffenbacher	2008-08-29 09:10:58
Colin%20Creevey	2008-10-29 19:00:08
Crabbe	2008-10-29 19:00:08
crouleau	2008-04-07 11:36:26
cstokes	2008-08-28 12:45:46
ctappan	2008-03-09 19:59:21
cwang	2008-03-11 23:59:23
czwiebel	2008-08-28 13:05:26
dbathgate	2008-08-30 13:04:24
dcody	2008-03-03 23:41:56
ddougherty	2008-03-04 22:24:30
Dean%20Thomas	2008-10-29 19:00:08
dgebhart	2008-04-07 12:50:57
dgrieneisen	2008-03-10 13:13:50
dnelson	2008-09-17 20:15:56
Dobby	2008-10-29 19:00:08
Draco%20Malfoy	2008-10-29 19:00:08
dsotingco	2008-04-07 18:43:12
Dubs%20Another%20Nasty	2008-10-31 02:08:54
Dubs%20Nasty	2008-10-31 01:36:11
Dubs%20Nasty!	2008-10-31 02:08:53
Dubs%20Nasty%20	2008-10-31 01:36:12
Dubs%20Nasty%20%20	2008-10-31 01:36:10
Dubs%20Nasty%20%20%20	2008-10-31 01:36:10
Dubs%20Nasty%20%20%20%20	2008-10-31 01:36:10
Dubs%20Nasty%20%20%20%20%20	2008-10-31 01:36:11
Dubs%20Nasty%20%20%20%20%20%20	2008-10-31 01:36:13
Dubs%20Nasty%20%20%20%20%20%20%20	2008-10-31 01:36:11
Dubs%20Nasty%20%20%20%20%20%20%20%20	2008-10-31 01:36:12
Dubs%20Nasty%20%20%20%20%20%20%20%20%20	2008-10-31 01:36:10
Dubs%20Nasty%20%20%20%20%20%20%20%20%20%20	2008-10-31 01:36:12
Dubs%20Nasty%20%20%20%20%20%20%20%20%20%20%20	2008-10-31 01:36:12
Dubs%20Nasty%20%20%20%20%20%20%20%20%20%20%20%20	2008-10-31 01:36:12
Dubs%20Nasty%20%20%20%20%20%20%20%20%20%20%20%20%20	2008-10-31 01:36:12
Dubs%20Nasty%20%20%20%20%20%20%20%20%20%20%20%20%20%20	2008-10-31 01:36:09
Dubs%20Nasty%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20	2008-10-31 01:36:12
Dubs%20Nasty%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20	2008-10-31 01:36:10
Dubs%20Nasty%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20	2008-10-31 01:36:11
Dubs%20Nasty%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20	2008-10-31 01:36:12
Dubs%20Nasty%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20	2008-10-31 01:36:11
Dubs%20Nasty%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20	2008-10-31 01:36:12
Dubs%20Nasty%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20	2008-10-31 01:36:10
Dubs%20Nasty%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20	2008-10-31 01:36:10
Dubs%20Nasty%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20	2008-10-31 01:36:13
Dubs%20Nasty%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20	2008-10-31 01:36:13
Dubs%20Nasty%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20	2008-10-31 01:36:13
Dubs%20Nasty%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20	2008-10-31 01:36:11
Dubs%20Nasty%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20	2008-10-31 01:36:11
Dubs%20Nasty%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20	2008-10-31 01:36:11
Dubs%20Nasty%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20	2008-10-31 01:36:11
Dubs%20Nasty%20Andree	2008-10-31 02:08:41
Dubs%20Nasty%20Man	2008-10-31 02:08:56
Dubs%20Nasty.	2008-10-31 02:08:52
Dubs%20Nasty..	2008-10-31 02:08:41
Dubs%20Nasty?	2008-10-31 02:08:53
Dubs%20NastyNasty	2008-10-31 02:09:02
Dubs%20Nastyyyy	2008-10-31 02:08:59
Dudley%20Dursley	2008-10-29 19:00:08
ebyun	2008-04-07 20:03:05
echisa	2008-03-02 18:19:54
Eh207	2008-10-31 01:51:40
EH306F	2008-10-31 01:51:42
ekoukina	2008-08-30 20:54:38
Elizabeth%20Kneen	2008-03-11 15:09:21
emorikawa	2008-03-03 20:06:28
eoleynikova	2008-03-09 15:04:10
eschumacher	2008-04-07 12:14:21
esheldon	2008-04-07 12:44:58
esterling	2008-03-02 13:20:45
ESwartz	2008-08-29 16:15:53
etowers	2008-08-28 12:25:27
etowns	2008-03-18 00:40:08
fbalestra	2008-09-03 16:59:59
Fleur%20Delacour	2008-10-29 19:00:08
Frankie%20Olin	2008-10-31 01:53:26
Fred%20Weasley	2008-10-29 19:00:08
