user	COUNT(*)
	292
abarry	3779
abowlby	1900
AC306	4
AC409	3
Administrator	18
adyer	11357
afabian	9240
agao	1779
ajones	3746
akenvarg	510
akubitza	6898
Al%20Gore	163
Albus%20Dumbledore	186
aleigh	174
alevitz	2765
alloyd	6132
amartin	6740
Andy%20Rooney	164
aolsen	4728
apethan	3992
apikler	3887
apradhan	9641
Aragog	185
arash	446
astocks	8447
aushani	11543
auttamchandani	4064
avinash	19
aweis	60
awu	20681
b	335
Barack%20Obama	163
Barty%20Crouch%20Jr	186
bcharles	2269
bdieseldorff	3945
Bellatrix%20Black	186
Ben%20Stein	159
bfisher	2868
Bill%20Gates	159
bradleypowers	953
bradpowers	106
bsmall	4693
btaratutin	761
Buckbeak	185
Cedric%20Diggory	186
cfitzhugh	5651
chicks	6
Cho%20Chang	186
chris	1
Chris%20Marra	62
cmarra	554
cmcleod	5963
cnguyen	4458
coff	1
coffenbacher	6856
Colin%20Creevey	186
Crabbe	186
crouleau	7056
cstokes	3482
ctappan	5341
cwang	7954
czwiebel	3546
dbathgate	4463
dcody	6761
ddougherty	7978
Dean%20Thomas	186
dgebhart	8574
dgrieneisen	611
dnelson	2773
Dobby	184
Draco%20Malfoy	186
dsotingco	105
Dubs%20Another%20Nasty	151
Dubs%20Nasty	160
Dubs%20Nasty!	150
Dubs%20Nasty%20	1
Dubs%20Nasty%20%20	1
Dubs%20Nasty%20%20%20	1
Dubs%20Nasty%20%20%20%20	1
Dubs%20Nasty%20%20%20%20%20	1
Dubs%20Nasty%20%20%20%20%20%20	1
Dubs%20Nasty%20%20%20%20%20%20%20	1
Dubs%20Nasty%20%20%20%20%20%20%20%20	1
Dubs%20Nasty%20%20%20%20%20%20%20%20%20	1
Dubs%20Nasty%20%20%20%20%20%20%20%20%20%20	1
Dubs%20Nasty%20%20%20%20%20%20%20%20%20%20%20	1
Dubs%20Nasty%20%20%20%20%20%20%20%20%20%20%20%20	1
Dubs%20Nasty%20%20%20%20%20%20%20%20%20%20%20%20%20	1
Dubs%20Nasty%20%20%20%20%20%20%20%20%20%20%20%20%20%20	1
Dubs%20Nasty%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20	1
Dubs%20Nasty%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20	1
Dubs%20Nasty%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20	1
Dubs%20Nasty%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20	1
Dubs%20Nasty%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20	1
Dubs%20Nasty%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20	1
Dubs%20Nasty%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20	1
Dubs%20Nasty%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20	1
