user	MIN(DATEDIFF(date, '2008-01-01'))
	63
abarry	60
abowlby	63
Administrator	68
adyer	98
afabian	242
agao	84
ajones	64
akenvarg	61
akubitza	241
aleigh	242
alevitz	61
alloyd	241
amartin	98
aolsen	65
apethan	62
apikler	244
apradhan	61
arash	97
astocks	240
aushani	63
auttamchandani	70
avinash	72
aweis	64
awu	75
b	98
bcharles	97
bdieseldorff	61
bfisher	60
bradleypowers	88
bradpowers	400
bsmall	64
btaratutin	240
cfitzhugh	241
chicks	241
chris	265
Chris%20Marra	386
cmarra	240
cmcleod	97
cnguyen	62
coff	285
coffenbacher	241
crouleau	97
cstokes	240
ctappan	68
cwang	70
czwiebel	240
dbathgate	242
dcody	62
dgebhart	97
dgrieneisen	69
dnelson	260
dsotingco	97
ebyun	97
echisa	61
ekoukina	242
Elizabeth%20Kneen	70
emorikawa	62
eoleynikova	68
eschumacher	97
esheldon	97
esterling	61
ESwartz	241
etowers	240
etowns	77
fbalestra	246
gboggs	97
gdavidoff	269
gmarra	60
gou	97
greg	401
gthomas	240
herman	316
hjaffe	241
Ishafer	60
itcltadm	62
jadudm	115
james	97
jatkinson	241
jbauer	69
jcross	63
jcurtis	241
jdecew	63
jessimurray	107
jgorasia	106
jharley	97
jherman	63
jhiggins	97
jholler	61
jhwang	97
jinman	97
jizraelevitz	97
jkeene	98
jlin	97
jmccandless	241
jmeyer	241
jmiller	60
jmoore1	64
jmurray	72
jregulinski	241
jrosenwinkel	97
jrucker	241
jsanten	244
jsantos	97
jsimonovich	240
jstanton	119
jswitzer	302
jwest	121
jwhong	97
jzapanta	99
kadamec	84
kcary	70
kdramstad	246
kelliott	61
kevinbretney	97
kgonzalez	96
khicks	281
kmiller	97
kmurphy	118
komanakuttan	64
kporta	64
kschults	82
ksihlanick	65
ksimon	244
kspong	70
kstadtmueller	63
kterracciano	68
ktowers	97
ldethrow	71
ldunne	83
lfirstenberg	64
lgerhat	61
lglanville	61
ljentoft	61
lkaye	83
lmendelson	97
lreed	242
lweis	65
malv	285
malvarado	262
mbejar	241
mbittner	241
mboes	98
mboutelle	61
mchang	94
mcrawford	61
melsenbeck	83
mhuang	240
miradu	97
mlavine	244
mmorales	61
mmurphy	240
mmurray	243
mritter	60
mschmidt	242
mstark	241
mtaylor1	120
nhays	84
nhobbs	106
nlee	71
nmartelaro	241
nmattison	240
None	72
nrpayton8	94
nwittenstein	107
Oleg	295
Oleg%20Murray	295
onionuser	334
pchung	247
pdirkse	61
pierre	118
pmandel	62
pwillemann	241
rcherney	98
rcrosby	71
rkim	243
rleung	291
rliu	240
rmacklin	274
rmitchell	97
rnancollas	346
roland	72
root	97
rpratt	241
rrangan	60
rsobecki	244
rstedman	97
rwang	242
rzeller	242
sallen	61
santol	69
sbackus	86
schao	240
shiggins	241
slam	97
smcclure	60
ssun	268
sthompson	97
sthomson	243
swaskom	68
swolpert	68
szimmerman	93
szimmermann	63
szinnen	86
tindik	97
tlamar	242
TMichon	69
tsmith	69
vdimitrov	83
vhsiao	60
vmani	240
wandree	242
wdvorak	97
wlong	71
xy	293
xziemba	242
yfeng	251
yli	97
zbrass	240
zkratzer	69
znewell	63
