place	COUNT(*)
WH10,in,Antelounge	8
WH10,in,Kitchen	1532
WH10,in,Lawn	6
WH10,in,lounge	2174
WH10,in,North%20Nook	745
WH10,in,outside	14
WH10,in,rm104	6
WH10,in,rm105	165
WH10,in,rm107	205
WH10,in,rm118	7
WH10,out,eastwing	42
WH10,out,northwing	391
WH10,out,outside	7
WH10,out,rm124	84
WH10,out,Sukkah	9
WH10,out,westwing	403
WH20,in,antelounge	7524
WH20,in,Inside%20WH203	43
WH20,in,lounge	15988
WH20,in,Nook	5404
WH20,in,north%20wing	2366
WH20,in,North%20Wing%20Nook	3472
WH20,in,rm14	338
WH20,in,rm201	3258
WH20,in,rm202	1943
WH20,in,rm203	856
WH20,in,rm204	3404
WH20,in,rm205	3548
WH20,in,rm206	1335
WH20,in,rm207	6806
WH20,in,rm209	5146
WH20,in,rm210	4315
WH20,in,rm211	358
WH20,in,rm212	3643
WH20,in,rm213	8742
WH20,in,rm214	3021
WH20,in,rm215	3588
WH20,in,rm218	9194
WH20,in,rm223	4765
WH20,in,rm224	4316
WH20,in,rm225	3468
WH20,in,rm226	7181
WH20,in,rm227	5209
WH20,in,rm228	2328
WH20,in,rm229	2952
WH20,in,rm230	4439
WH20,in,rm231	7459
WH20,in,rm28	981
WH20,in,rm31	169
WH20,in,WH212	224
WH20,out,North%20Wing%20Nook	568
WH20,out,rm215	435
WH20,out,westwing	160
WH30,in,309	3
WH30,in,antelounge	12398
WH30,in,condomrm	1
WH30,in,Inside%203rd%20floor%20lounge	35
WH30,in,laundry%20room	55
WH30,in,Laundryrm	161
WH30,in,lounge	24122
WH30,in,North%20Wing	28
WH30,in,northwing%20nook	2501
WH30,in,rm301	3256
WH30,in,rm301%20Bath	35
WH30,in,rm301Bathrm	38
WH30,in,rm302	2828
WH30,in,rm303	5763
WH30,in,rm304	3769
WH30,in,rm305	414
WH30,in,rm306	14814
WH30,in,rm307	958
WH30,in,rm308	1
WH30,in,rm309	16028
WH30,in,rm310	69
WH30,in,rm311	492
WH30,in,rm312	4725
WH30,in,rm313	7240
WH30,in,rm314	2977
WH30,in,rm315	4277
WH30,in,rm318	1295
WH30,in,rm321	3
WH30,in,rm323	2550
WH30,in,rm324	6530
WH30,in,rm325	6734
WH30,in,rm326	24
WH30,in,rm327	1300
WH30,in,rm328	4
WH30,in,rm329	5279
WH30,in,rm330	6295
WH30,in,rm331	2052
WH30,in,rm404	1
WH30,in,Room309	1
WH30,in,TEAM%20ROOM	493
WH30,in,test	2
WH30,in,TESTTESTTEST	1
WH30,in,West%20Wing%20Windowseat	151
WH30,in,WH%20325	284
WH30,out,northwing	1442
WH30,out,rm309	536
WH30,out,westwing	673
WH40,in,(5th%20floor)%20north%20stairwell	8
WH40,in,01	175
WH40,in,05	59
WH40,in,antelounge	7310
WH40,in,lounge	9789
WH40,in,northwing%20stairwell	37
WH40,in,rm	4
WH40,in,rm02	241
WH40,in,rm210	1
WH40,in,rm304	1
WH40,in,rm308	1
WH40,in,rm310	1
WH40,in,rm311	1
WH40,in,rm401	3694
WH40,in,rm402	2614
WH40,in,rm403	2584
WH40,in,rm404	5499
WH40,in,rm405	3011
WH40,in,rm406	5861
WH40,in,rm407	11096
WH40,in,rm409	3718
WH40,in,rm410	403
WH40,in,rm410%20(The%20Zebra%20Lounge)	201
WH40,in,rm411	4804
WH40,in,rm412	1338
WH40,in,rm413	2155
WH40,in,rm414	5622
WH40,in,rm415	12200
WH40,in,rm418	14805
WH40,in,rm420	62
WH40,in,rm423	11106
WH40,in,rm424	91
WH40,in,rm425	9150
WH40,in,rm427	1792
WH40,in,rm429	14438
WH40,in,rm431	11529
WH40,in,rm504	1
WH40,in,TESTTESTTEST	1
WH40,in,The%20Zebra%20Lounge	400
WH40,in,WH423	378
WH40,out,Antelounge	6
WH40,out,eastwing	558
WH40,out,northwing	878
WH40,out,westwing	406
WH40in,rm404	3
WH50,in,rm504	170
